# Index: time,,,,,,,
# Units: $ / person,,,,,,,
,,,,,,,
Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8
~N(1;0),~Triangular(0.75;1.5;1),~Triangular(0.75;1.25;1),~Triangular(0.4;1;0.7),~Triangular(0.4;1;0.7),~Triangular(0.4;1;0.7),~Triangular(0.4;1;0.7),~Triangular(0.4;1;0.7)
